State,Crash_in_state,Year,Crash_Type,crashes_per_type,Speed_Limit,Road_User,Age,crashes_per_age
ACT,9,2016,Single,570,100,Driver,21,25
ACT,9,2016,Multiple,556,70,Motorcycle rider,24,28
ACT,9,2016,Single,570,60,Driver,24,28
ACT,9,2016,Single,570,80,Motorcycle rider,25,35
ACT,9,2016,Single,570,100,Motorcycle rider,36,29
ACT,9,2016,Multiple,556,100,Driver,39,16
ACT,9,2016,Pedestrian,169,50,Pedestrian,44,26
ACT,9,2016,Multiple,556,100,Driver,53,20
ACT,9,2016,Multiple,556,80,Driver,63,9
NSW,383,2016,Pedestrian,169,50,Pedestrian,1,6
NSW,383,2016,Single,570,110,Passenger,1,6
NSW,383,2016,Pedestrian,169,50,Pedestrian,2,4
NSW,383,2016,Pedestrian,169,70,Pedestrian,3,2
NSW,383,2016,Single,570,100,Passenger,3,2
NSW,383,2016,Pedestrian,169,100,Pedestrian,10,4
NSW,383,2016,Single,570,60,Passenger,11,1
NSW,383,2016,Multiple,556,80,Passenger,12,3
NSW,383,2016,Single,570,80,Passenger,13,1
NSW,383,2016,Pedestrian,169,50,Pedestrian,14,6
NSW,383,2016,Single,570,100,Passenger,14,6
NSW,383,2016,Multiple,556,50,Motorcycle rider,14,6
NSW,383,2016,Single,570,110,Passenger,15,8
NSW,383,2016,Pedestrian,169,60,Pedestrian,15,8
NSW,383,2016,Single,570,100,Passenger,15,8
NSW,383,2016,Single,570,100,Passenger,16,10
NSW,383,2016,Single,570,100,Driver,16,10
NSW,383,2016,Pedestrian,169,70,Pedestrian,16,10
NSW,383,2016,Single,570,60,Driver,17,27
NSW,383,2016,Multiple,556,70,Driver,17,27
NSW,383,2016,Single,570,100,Driver,17,27
NSW,383,2016,Single,570,80,Driver,17,27
NSW,383,2016,Single,570,110,Passenger,17,27
NSW,383,2016,Single,570,50,Driver,17,27
NSW,383,2016,Pedestrian,169,60,Pedestrian,17,27
NSW,383,2016,Single,570,50,Passenger,17,27
NSW,383,2016,Single,570,100,Passenger,17,27
NSW,383,2016,Single,570,100,Driver,17,27
NSW,383,2016,Multiple,556,70,Motorcycle rider,17,27
NSW,383,2016,Multiple,556,100,Driver,17,27
NSW,383,2016,Single,570,100,Passenger,18,30
NSW,383,2016,Single,570,100,Driver,18,30
NSW,383,2016,Multiple,556,110,Motorcycle rider,18,30
NSW,383,2016,Multiple,556,110,Driver,18,30
NSW,383,2016,Multiple,556,60,Motorcycle rider,18,30
NSW,383,2016,Multiple,556,70,Motorcycle rider,18,30
NSW,383,2016,Single,570,100,Driver,18,30
NSW,383,2016,Single,570,100,Driver,18,30
NSW,383,2016,Multiple,556,80,Driver,18,30
NSW,383,2016,Single,570,100,Passenger,18,30
NSW,383,2016,Single,570,80,Passenger,18,30
NSW,383,2016,Pedestrian,169,100,Pedestrian,18,30
NSW,383,2016,Pedestrian,169,50,Pedestrian,18,30
NSW,383,2016,Multiple,556,100,Passenger,19,24
NSW,383,2016,Multiple,556,80,Driver,19,24
NSW,383,2016,Single,570,50,Driver,19,24
NSW,383,2016,Pedestrian,169,90,Pedestrian,19,24
NSW,383,2016,Single,570,100,Driver,19,24
NSW,383,2016,Multiple,556,50,Passenger,20,26
